year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2013.429,,,37.6,
2013.4368,,35.29,,
2013.4561,,,36.28,
2013.4572,,31.54,,
2013.4833,,,37.76,
2013.5104,,,36.71,
2013.5376,,,36.43,
2013.5648,,,37.93,
2013.5919,,,37.65,
2013.619,,,33.36,
2013.6462,,,33.41,
2013.6696,,,37.09,
2013.7071,,,32.92,
2013.7276,,,34.81,
2013.7548,,,35.98,
2013.7819,,,36.45,
2013.8091,,,39.56,
2013.8362,,,41.02,
2013.8634,,,39.09,
2013.8905,,,38.23,
2013.9177,,,37.4,
2013.9448,,,35,
2013.972,,,36.98,
2013.9992,,,38.36,
2014.0263,,,38.27,
2014.0534,,,38.37,
2014.0806,,,36.45,
2014.1077,,,38.47,
2014.1349,,,41.05,
2014.162,,,40.81,
2014.1891,,,41.18,
2014.2163,,,39.99,
2014.2435,,,39.77,
2014.2705,,,40.23,
2014.2978,,,40.39,
2014.3249,,,38.15,
2014.352,,,37.88,
2014.3791,,,38.06,
2014.4063,,,39.04,
2014.4334,,,38.07,
2014.4606,,,40.23,
2014.4878,,,41.67,
2014.5149,,,42.48,
2014.5421,,,42.06,
2014.5692,,,39.13,
2014.5964,,,41.03,
2014.6235,,,42.62,
2014.6507,,,42.87,
2014.6777,,,42.39,
2014.705,,,42.01,
2014.7321,,,39.15,
2014.7593,,,41.27,
2014.7864,,,44.6,
2014.8136,,,44.17,
2014.8407,,,41.57,
2014.8679,,,41.6,
2014.895,,,38.18,
2014.9222,,,39.57,
2014.9493,,,47.89,
2014.9776,,,45.42,
2015.0036,,,41.54,
2015.0308,,,44.74,
2015.0579,,,44.63,
2015.085,,,46.57,
2015.1122,,,47.08,
2015.1394,,,49.24,
2015.1664,,,48.28,
